,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Krasnosel'kup,65.7,82.4667,-14.33,94,100,5.64,RU,1618620559
1,Vaini,-21.2,-175.2,27.0,65,20,2.06,TO,1618620516
2,Verkhoyansk,67.5447,133.385,-3.33,74,100,5.94,RU,1618620560
3,Port Elizabeth,-33.918,25.5701,16.0,72,0,6.69,ZA,1618620560
4,Saskylakh,71.9167,114.0833,-15.37,94,100,6.66,RU,1618620560
5,Mataura,-46.1927,168.8643,12.22,70,66,3.13,NZ,1618620561
6,Puerto Ayora,-0.7393,-90.3518,24.44,96,88,0.45,EC,1618620561
7,Tondano,1.3038,124.9112,30.0,62,20,2.57,ID,1618620562
8,Bluff,-46.6,168.3333,12.22,70,99,3.13,NZ,1618620539
9,Katsuura,35.1333,140.3,16.67,75,100,7.59,JP,1618620562
10,Tasiilaq,65.6145,-37.6368,-3.0,100,75,16.98,GL,1618620506
11,Faanui,-16.4833,-151.75,27.85,72,35,2.94,PF,1618620513
12,Khatanga,71.9667,102.5,-12.13,92,100,4.42,RU,1618620563
13,Lata,40.1629,-8.3327,14.44,77,15,1.92,PT,1618620564
14,Padang,-0.9492,100.3543,23.0,100,75,0.51,ID,1618620564
15,Malumfashi,11.7853,7.6218,23.9,26,50,3.06,NG,1618620546
16,Punta Arenas,-53.15,-70.9167,8.0,81,75,10.8,CL,1618620564
17,Narsaq,60.9167,-46.05,-7.0,27,8,5.66,GL,1618620565
18,Chatrapur,19.35,84.9833,26.64,73,0,3.39,IN,1618620565
19,Butaritari,3.0707,172.7902,27.85,74,49,4.01,KI,1618620566
20,Acaraú,-2.8856,-40.12,26.09,85,99,5.64,BR,1618620566
21,Rikitea,-23.1203,-134.9692,25.21,71,100,4.59,PF,1618620567
22,Albany,42.6001,-73.9662,5.0,79,98,3.11,US,1618620504
23,Dukat,62.55,155.55,-7.24,69,1,4.67,RU,1618620567
24,Xianshuigu,38.985,117.3828,13.0,19,0,7.0,CN,1618620568
25,Castro,-24.7911,-50.0119,15.2,89,100,1.45,BR,1618620568
26,Qaanaaq,77.484,-69.3632,-18.81,90,100,4.07,GL,1618620568
27,Cape Town,-33.9258,18.4232,18.33,77,0,0.51,ZA,1618620395
28,Rutland,43.6167,-73.0162,2.0,100,90,3.6,US,1618620569
29,Port Alfred,-33.5906,26.891,16.64,62,2,9.05,ZA,1618620569
30,Te Anau,-45.4167,167.7167,11.32,52,98,1.16,NZ,1618620570
